10,71
11,42
12,93
12,70
12,36
13,74
13,48
13,54
13,42
13,26
13,38
13,52
13,43
13,34
14,33
14,62
15,21
15,23
15,28
15,33
15,39
15,23
15,30
16,62
16,32
16,28
16,27
16,36
17,18
17,21
17,43
17,28
17,18
18,20
18,21
18,21
18,22
18,23
18,24
18,25
18,26
18,29
18,35
18,38
18,40
18,41
18,35
18,24
18,23
18,22
18,21
18,17
19,30
19,28
19,25
19,18
19,19
19,23
19,22
19,24
20,31
20,26
20,20
20,15
21,17
21,22
22,37
22,34
22,29
22,21
22,18
23,17
24,20
25,16
25,32
25,20
26,27
27,30
27,26
27,25
28,26
28,24
28,23
28,20
29,17
29,18
29,19
29,20
30,17
30,24
31,15
31,25
37,22
38,18
39,22
39,20
43,14
52,40
54,24
56,30
56,37
57,24
58,23
60,19
60,22
60,23
60,25
60,38
60,39
61,42
61,35
61,32
62,31
62,28
62,25
63,27
63,22
64,37
64,41
65,18
65,19
65,22
65,30
66,32
67,29
67,28
68,40
68,43
69,28
69,24
69,20
69,17
70,23
70,30
70,32
72,19
73,29
75,24
80,30
